0  sortseq,0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
04,3-FM,VK2RMG 7,FM,7,438.1250,433.1250,VK2RMG,-,Bruxner Park,Coffs Harbour,O,150,100,3,2EP,123,24,,5.000,5.000,-,MINUS,DUP-,-RPT,153.1088777,-30.25612927,QF69nr38bm,438859,24.7,35.3,1124955.4,264486.5,5,
04,3-FM,VK2RMY 7,FM,7,438.0750,433.0750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,50,500,3,2EP,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,152.9194899,-30.81391167,QF69le04ip,375021,25.9,38.1,1066076.2,326571.0,5,
04,3-FM,VK2RNC 7,FM,7,438.0250,433.0250,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,25,442,5,2AWX,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.538894,-32.8901955,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,
04,3-FM,VK2RNC 7,FM,7,438.6750,433.6750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,80,442,5,2AWX,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.538894,-32.8901955,QF57sc46qi,112720,16.0,51.6,808878.9,575392.7,5,
04,3-FM,VK2ROJ 7,FM,7,439.7000,434.7000,VK2ROJ,-,Bolwarra Heights,Lower Hunter,O,-,-,-,2AOJ,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.5951718,-32.69992491,QF57th12ka,134461,15.7,47.1,827473.6,553647.0,5,
04,3-FM,VK2RPL 7,FM,7,438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore FM and P25,O,50,850,3,2SRC,123,81,,5.000,5.000,-,MINUS,DUP-,-RPT,153.290154,-28.5426686,QG61pk49ts,622825,19.1,27.2,1286931.8,77843.9,5,
04,3-FM,VK2RPM 7,FM,7,438.5250,433.5250,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,10,552,3,2BOR,123,,,5.000,5.000,-,MINUS,DUP-,-RPT,152.6782851,-31.70130379,QF68ih11jq,276947,30.2,45.5,978040.1,426278.4,5,
04,3-FM,VK2RSC 7,FM,7,439.9500,434.9500,VK2RSC,Lismor,Parrots Nest,Lismore,O,30,185,3,2SRC,123,66,,5.000,5.000,-,MINUS,DUP-,-RPT,153.2285111,-28.85706342,QG61od74kh,587852,19.6,28.1,1254981.8,110592.3,5,
04,3-FM,VK2RUM 7,FM,7,438.6250,433.6250,VK2RUM,-,Merewether,Newcastle,O,5,50,3,2FA,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.7480913,-32.95176983,QF57ub91sn,113350,26.5,58.0,818299.7,577271.0,5,
04,3-FM,VK2RWH 7,FM,7,439.6250,434.6250,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,O,-,-,-,NWN,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.5154557,-32.91742767,QF57sb19ut,109225,15.3,52.0,805200.4,578881.9,5,
04,3-FM,VK2RWK 7,FM,7,439.8250,434.8250,VK2RWK,KurraJ,Kurrajong,NW Sydney FM and P25,O,-,-,-,NWN,91.5,80,,5.000,5.000,-,MINUS,DUP-,-RPT,150.6269303,-33.52358322,QF56hl54fi,66009,305.2,54.0,698982.2,668662.9,5,
05,6-DV,VK1RWN C,DV,DST,146.6625,146.0625,VK1RWN C,-,Isaacs Ridge,Canberra Central (G) 6/15,T,25,790,3,1ACA,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,149.1187502,-35.36458523,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
05,2-FM,VK1RAC 2,FM,2,146.9000,146.3000,VK1RAC,Tidbin,Tidbinbilla,SW ACT 6/15,X,10,441,5,1ACA,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,148.9521436,-35.37893186,QF44lo49gb,266233,230.3,213.6,447143.8,919053.4,5,
05,2-FM,VK1RBH 2,FM,2,147.1750,147.7750,VK1RBH,BullsH,Bulls Head,ACT WICEN,O,50,1385,-,1ACA,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,148.8130485,-35.38578797,QF44jo77nj,276712,231.8,216.1,436814.4,925387.5,5,
05,2-FM,VK1RBM 2,FM,2,146.7250,146.1250,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,O,25,790,3,1ACA,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,149.1187502,-35.36458523,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
05,2-FM,VK1RGI 2,FM,2,146.9500,146.3500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,40,1770,3.5,1ACA,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,148.772605,-35.52955176,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,
05,2-FM,VK2RAD 2,FM,2,146.7250,146.1250,VK2RAD,SHill,South Hill,Armidale,O,10,1140,3,2IY,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.6517546,-30.54427719,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.4,5,
05,2-FM,VK2RAO 2,FM,2,146.7000,146.1000,VK2RAO,Cbolas,Mt Canobolas,Orange,O,50,1417,3,2AOA,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,148.9829672,-33.34185184,QF46lp77ww,214558,285.2,288.4,615093.4,721550.9,5,
05,2-FM,VK2RAP 2,FM,2,147.2750,147.8750,VK2RAP,AcacPl,Acacia Plateau,Warwick - Stanthorpe,O,40,950,3,4BRC,-,33,,-0.600,0.600,+,PLUS,DUP+,+RPT,152.347415,-28.39188002,QG61eo15qw,616764,10.4,18.8,1250443.2,90862.6,5,
05,2-FM,VK2RAY 2,FM,2,147.2250,147.8250,VK2RAY,Albury,Albury,Albury,O,-,-,-,2EWC,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,147.0352724,-36.10082955,QF33mv45ft,454359,235.8,227.6,264537.9,1075161.5,5,
05,2-FM,VK2RBE 2,FM,2,146.7750,146.1750,VK2RBE,Bethun,Mt Bethungra,Cootamundra - Young,O,25,892,3,2WG,91.5,25,,0.600,0.600,-,MINUS,DUP-,-RPT,147.8774239,-34.72072358,QF35wg57ga,320851,251.9,242.9,431315.1,905437.4,5,
05,2-FM,VK2RBH 2,FM,2,147.0000,146.4000,VK2RBH,Darlng,Mt Darling,Broken Hill,O,15,400,-,2DPG,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,141.5331625,-32.02296308,QF07sx34xl,927126,280.1,280.5,714916.5,1203437.8,5,
05,2-FM,VK2RBK 2,FM,2,146.7750,146.1750,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/15,X,25,720,-,2DK,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.5241697,-30.05669514,QF59gw26vj,427506,351.1,2.9,1001535.7,346197.5,5,
05,2-FM,VK2RBL 2,FM,2,146.7250,146.1250,VK2RBL,Balran,Balranald,Balranald 6/15,X,50,-,-,3RSG,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,143.5667973,-34.63516247,QF15si87an,708771,261.0,258.8,374567.4,1173839.1,5,
05,2-FM,VK2RBR 2,FM,2,146.7750,146.1750,VK2RBR,Tabulm,Tabulam,Far North Coast 6/15,X,10,600,3,2SRC,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,152.4270946,-28.75401916,QG61ff19ga,578733,11.9,20.7,1220559.4,116008.4,5,
05,2-FM,VK2RCC 2,FM,2,146.8000,146.2000,VK2RCC,NeedlMn,Needle Mountain,Coonabarabran,O,80,1100,3.5,2UBQ,-,29,,0.600,0.600,-,MINUS,DUP-,-RPT,149.0261856,-31.34631103,QF48mp36dv,346562,323.2,335.1,808033.2,548722.5,5,
05,2-FM,VK2RCD 2,FM,2,146.7250,146.1250,VK2RCD,BurroH,Burroway Hill,Dubbo area,O,50,300,-,2UBQ,-,29,,0.600,0.600,-,MINUS,DUP-,-RPT,148.5567121,-32.15491085,QF47gu62tt,312147,306.8,316.2,707946.4,643601.7,5,
05,2-FM,VK2RCW 2,FM,2,147.2000,147.8000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,87,950,3,2ACW,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,149.1232074,-33.27946023,QF46nr42sw,204235,288.1,293.5,628295.3,708566.1,5,
05,2-FM,VK2RDX 2,FM,2,146.6500,146.0500,VK2RDX,Bindo,Mt Bindo,W Blue Mountains,O,50,1362,3.5,2LE,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.0092893,-33.67701918,QF56ah17cm,113010,280.5,279.3,646693.9,706847.2,5,
05,2-FM,VK2RGA 2,FM,2,146.8250,146.2250,VK2RGA,Galore,Mt Galore,Lockhart,O,25,387,3,2WG,91.5,25,,0.600,0.600,-,MINUS,DUP-,-RPT,146.7906623,-35.1082274,QF34jv44va,428372,250.0,243.5,341723.1,998948.7,5,
05,2-FM,VK2RGF 2,FM,2,146.8500,146.2500,VK2RGF,SqrNob,Mt Square Knob,Leeton - Griffith,O,25,386,3,2WG,91.5,25,,0.600,0.600,-,MINUS,DUP-,-RPT,146.6101545,-34.55175189,QF35hk37fn,430397,258.6,253.8,390879.1,962113.8,5,
05,2-FM,VK2RGN 2,FM,2,146.6250,146.0250,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,149.7630924,-34.75856717,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,
05,2-FM,VK2RLH 2,FM,2,146.6750,146.0750,VK2RLH,SBark,Stringybark Hill,Bathurst,O,25,-,-,2NX,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,149.3597759,-33.55485678,QF46qk36eu,174777,280.9,281.4,617274.9,722949.3,5,
05,2-FM,VK2RLJ 2,FM,2,146.8750,146.2750,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne,O,10,2010,3,2SNO,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,148.3918701,-36.40000445,QF43eo73ax,380464,221.6,209.9,342253.4,1043040.5,5,
05,2-FM,VK2RMI 2,FM,2,146.6500,146.0500,VK2RMI,THiHi,Terry Hie Hie,Moree / Inverell,O,10,660,4,2AJ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.2799745,-29.80596822,QG50de36on,458866,348.7,359.6,1014760.7,345931.9,5,
05,2-FM,VK2RMM 2,FM,2,147.3750,147.9750,VK2RMM,McKen,Mt MacKenzie,Tenterfield - Granite Belt,O,40,1350,3,4BRC,123,33,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.9663476,-29.08614287,QG50xv59xh,535052,7.9,17.5,1165420.3,172185.4,5,
05,2-FM,VK2RMO 2,FM,2,146.8500,146.2500,VK2RMO,Baldwn,Mt Baldwin,Tamworth,O,20,820,-,2BTW,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.9594285,-31.04555947,QF58lw59db,313840,355.7,11.9,930542.5,406714.6,5,
05,2-FM,VK2RNE 2,FM,2,146.9500,146.3500,VK2RNE,Rumbee,Mt Rumbee,Glen Innes,O,10,1503,4,2AJ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.6052689,-29.95186941,QG50tb21pn,435842,5.1,16.7,1065744.6,270885.8,5,
05,2-FM,VK2RNW 2,FM,2,146.6250,146.0250,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW 6/15,P,50,1550,3,2AJ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.1521385,-30.27882146,QF59br83gb,410256,345.7,357.8,962677.1,389178.6,5,
05,2-FM,VK2RRT 2,FM,2,146.9000,146.3000,VK2RRT,Boona,Boona Mountain,Condobolin,O,25,441,5,2UBQ,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,147.1445264,-32.65648748,QF37ni72ik,401684,288.4,290.9,605410.8,777960.2,5,
05,2-FM,VK2RSM 2,FM,2,147.0250,147.6250,VK2RSM,TableT,Tabletop,Snowy Mountains,O,50,1350,3.5,2SNO,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,148.8584392,-36.11984178,QF43kv31af,329250,220.0,206.0,393997.1,996956.2,5,
05,2-FM,VK2RTD 2,FM,2,146.8000,146.2000,VK2RTD,Kendal,Mt Kendall,Tumut area,O,25,933,3,2WG,91.5,25,,0.600,0.600,-,MINUS,DUP-,-RPT,148.009957,-35.49552222,QF44am11eb,344180,237.5,226.3,374243.4,971329.3,5,
05,2-FM,VK2RTM 2,FM,2,146.7500,146.1500,VK2RTM,-,Mt Crawney,Tamworth/Muswellbrook,O,50,1361,-,2BTW,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.9925799,-31.58757994,QF58lj98cx,253677,355.4,15.4,883616.5,458049.7,5,
05,2-FM,VK2RWB 2,FM,2,147.2000,147.8000,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,O,80,250,5,NWN,123,19,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.8844262,-35.91247348,QF24wc61da,536767,243.5,237.7,226222.6,1119997.7,5,
05,2-FM,VK2RWG 2,FM,2,146.7500,146.1500,VK2RWG,WOF,Wheel of Fortune,Wagga,O,25,496,3,2WG,91.5,25,,0.600,0.600,-,MINUS,DUP-,-RPT,147.5593702,-35.04985793,QF34sw78ca,359933,247.6,238.9,384671.8,952002.4,5,
05,2-FM,VK2RWM 2,FM,2,147.1000,147.7000,VK2RWM,Warrad,Mt Warraderry,Grenfell,O,100,575,3,2XAQ,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,148.137425,-33.83583417,QF46bd69lj,284152,269.9,265.7,525996.9,811646.3,5,
05,2-FM,VK2RYL 2,FM,2,147.2250,147.8250,VK2RYL,BaldM,Bald Mountain,Rylstone,O,120,983,4,2LE,-,31,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.0175414,-32.69094859,QF57ah24ce,171255,319.3,346.6,730542.0,609288.2,5,
05,2-FM,VK2RZL 2,FM,2,146.8750,146.2750,VK2RZL,Muswel,Mt Arthur,Muswellbrook,O,10,-,0.5,2ATZ,123,,,0.600,0.600,-,MINUS,DUP-,-RPT,150.8583963,-32.36301317,QF57kp32av,170044,348.8,19.0,808361.7,541349.9,5,
05,3-FM,VK1RBM 7,FM,7,439.9500,434.9500,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,O,25,790,3,1ACA,91.5,65,,5.000,5.000,-,MINUS,DUP-,-RPT,149.1187502,-35.36458523,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
05,3-FM,VK1RGI 7,FM,7,438.0500,433.0500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,150,1770,3.5,1ACA,91.5,67,,5.000,5.000,-,MINUS,DUP-,-RPT,148.772605,-35.52955176,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,
05,3-FM,VK2RAB 7,FM,7,438.4750,433.4750,VK2RAB,MtCraw,Mt Crawney,Tamworth/Muswellbrook,O,50,1341,-,NWR,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.9920829,-31.58769895,QF58lj98bw,253668,355.4,15.4,883577.6,458082.5,5,
05,3-FM,VK2RAD 7,FM,7,438.6500,433.6500,VK2RAD,SHill,South Hill,Armidale,O,10,1140,3,2IY,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.6517546,-30.54427719,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.4,5,
05,3-FM,VK2RAO 7,FM,7,438.7250,433.7250,VK2RAO,Cbolas,Mt Canobolas,Orange area,O,50,1417,-,2AOA,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,148.9829672,-33.34185184,QF46lp77ww,214558,285.2,288.4,615093.4,721550.9,5,
05,3-FM,VK2RAY 7,FM,7,438.5750,433.5750,VK2RAY,Albury,Albury,Albury 6/15,P,-,-,-,2EWC,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,147.0352724,-36.10082955,QF33mv45ft,454359,235.8,227.6,264537.9,1075161.5,5,
05,3-FM,VK2RBK 7,FM,7,439.9000,434.9000,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/15,X,25,720,-,2DK,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.5241697,-30.05669514,QF59gw26vj,427506,351.1,2.9,1001535.7,346197.5,5,
05,3-FM,VK2RCW 7,FM,7,439.3000,434.3000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,50,950,3,2ACW,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,149.1232074,-33.27946023,QF46nr42sw,204235,288.1,293.5,628295.3,708566.1,5,
05,3-FM,VK2RDD 7,FM,7,439.9500,434.9500,VK2RDD,-,Burroway Hill,Dubbo,O,25,300,-,2UBQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,148.5567121,-32.15491085,QF47gu62tt,312147,306.8,316.2,707946.4,643601.7,5,
05,3-FM,VK2RGN 7,FM,7,438.3250,433.3250,VK2RGN,MtGray,Mt Gray,Goulburn,O,10,-,3.5,2JQ,-,67,,5.000,5.000,-,MINUS,DUP-,-RPT,149.7630924,-34.75856717,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,
05,3-FM,VK2RGN 7,FM,7,438.6250,433.6250,VK2RGN,-,Goulburn,Goulburn,O,-,-,-,2JQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,149.7630924,-34.75856717,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,
05,3-FM,VK2RGN 7,FM,7,439.9500,434.9500,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,149.7630924,-34.75856717,QF45vf17nw,165662,233.0,203.3,547939.4,825590.5,5,
05,3-FM,VK2RLH 7,FM,7,439.8500,434.8500,VK2RLH,-,Newbridge,Bathurst,O,-,-,-,2NX,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,149.3597759,-33.55485678,QF46qk36eu,174777,280.9,281.4,617274.9,722949.3,5,
05,3-FM,VK2RLJ 7,FM,7,438.4500,433.4500,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne 6/15,P,10,2010,3,2SNO,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,148.3918701,-36.40000445,QF43eo73ax,380464,221.6,209.9,342253.4,1043040.5,5,
05,3-FM,VK2RNW 7,FM,7,438.5750,433.5750,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW,O,50,1550,3,2AJ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.1521385,-30.27882146,QF59br83gb,410256,345.7,357.8,962677.1,389178.6,5,
05,3-FM,VK2RSM 7,FM,7,439.9000,434.9000,VK2RSM,TableT,Tabletop,Snowy Mountains,O,50,1350,3.5,2SNO,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,148.8584392,-36.11984178,QF43kv31af,329250,220.0,206.0,393997.1,996956.2,5,
05,3-FM,VK2RTW 7,FM,7,438.0250,433.0250,VK2RTW,-,Willans Hill,Wagga,O,25,372,3,2WG,91.5,25,,5.000,5.000,-,MINUS,DUP-,-RPT,147.3722418,-35.13272441,QF34qu48qd,379134,247.2,239.0,367235.8,969333.6,5,
05,3-FM,VK2RTW 7,FM,7,439.8000,434.8000,VK2RTW,-,Wagga Wagga,Wagga Wagga,O,-,-,-,2WG,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,147.3722418,-35.13272441,QF34qu48qd,379134,247.2,239.0,367235.8,969333.6,5,
05,3-FM,VK2RWB 7,FM,7,439.6500,434.6500,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,O,80,250,5,NWN,123,19,,5.000,5.000,-,MINUS,DUP-,-RPT,145.8844262,-35.91247348,QF24wc61da,536767,243.5,237.7,226222.6,1119997.7,5,
05,3-FM,VK2RWM 7,FM,7,438.3250,433.3250,VK2RWM,Warrad,Mt Warraderry,Grenfell,O,25,575,3,2XAQ,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,148.137425,-33.83583417,QF46bd69lj,284152,269.9,265.7,525996.9,811646.3,5,
10,6-DV,VK3RMC C,DV,DST,146.7625,146.1625,VK3RMC C,-,Berwick,Berwick (G),O,-,-,-,3APC,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,145.3281339,-38.00118893,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
10,6-DV,VK3RMM B,DV,DST,438.0500,432.6500,VK3RMM B,Macdon,Mt Macedon,Melbourne NW (G),O,25,1011,3,3WI,-,96,,5.400,5.400,-,MINUS,DUP-,-RPT,144.5767796,-37.38344075,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
10,6-DV,VK3RMM C,DV,DST,146.9625,146.3625,VK3RMM C,Macdon,Mt Macedon,Melbourne NW (G) 6/15,P,25,1011,3,3WI,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,144.5767796,-37.38344075,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
10,6-DV,VK3RWN B,DV,DST,438.3000,432.9000,VK3RWN B,-,Olinda,Melbourne East (G),O,25,600,3,3ER,-,79,96,5.400,5.400,-,MINUS,DUP-,-RPT,145.3642271,-37.85786446,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
10,6-DV,VK3RWN C,DV,DST,146.9125,146.3125,VK3RWN C,-,Olinda,Melbourne East (G),O,25,600,3,3ER,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,145.3642271,-37.85786446,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
10,2-FM,VK3RAJ 2,FM,2,146.8250,146.2250,VK3RAJ,Upwey,Upwey,Melbourne E/SE,O,50,270,3,3AJ,94.8,104,,0.600,0.600,-,MINUS,DUP-,-RPT,145.3172575,-37.90393029,QF22pc83bb,695024,228.2,222.7,32197.2,1326662.8,5,
10,2-FM,VK3RCR 2,FM,2,147.0750,147.6750,VK3RCR,Dande,Mt Dandenong,Melbourne,O,100,600,-,3VW,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.34661,-37.83747566,QF22qd19oa,688435,228.6,223.0,33306.0,1319150.3,5,
10,2-FM,VK3REC 2,FM,2,147.1750,147.7750,VK3REC,Olind1,Olinda,Melbourne,O,40,600,2.5,3ER,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.3642271,-37.85786446,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
10,2-FM,VK3RFY 2,FM,2,147.4250,147.4250,VK3RFY,Hillsd,Hillside,Melb West IRLP/EchoLink,O,100,145,3,3FY,91.5,38,99,0.000,0.000,+,PLUS,DUP+,+RPT,144.7285569,-37.69462239,QF22ih73kg,723184,232.2,227.2,25016.2,1338938.9,5,
10,2-FM,VK3RGC 2,FM,2,147.1250,147.7250,VK3RGC,MoPell,Montpellier,Geelong,O,45,160,3,3ATL,91.5,,,-0.600,0.600,+,PLUS,DUP+,+RPT,144.313919,-38.15716793,QF21du72qg,782385,230.6,225.9,69058.4,1401837.8,5,
10,2-FM,VK3RGL 2,FM,2,147.0000,146.4000,VK3RGL,Anakie,Mt Anakie,Geelong,O,45,400,3,3ATL,91.5,,,0.600,0.600,-,MINUS,DUP-,-RPT,144.2690362,-37.88642676,QF22dc27gg,768671,232.6,228.0,62171.2,1380793.9,5,
10,2-FM,VK3RMC 2,FM,2,147.3250,147.9250,VK3RMC,NarWar,Narre Warren Nth,Melbourne SE,O,-,-,-,3APC,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.3281339,-38.00118893,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
10,2-FM,VK3RML 2,FM,2,146.7000,146.1000,VK3RML,FernyC,Ferny Creek,Melbourne,O,100,600,2.5,3RSG,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,145.3363277,-37.87779574,QF22qc09ih,691910,228.3,222.8,33059.9,1323325.8,5,
10,2-FM,VK3RMM 2,FM,2,147.2500,147.8500,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN,O,100,1011,2.5,3WI,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,144.5767796,-37.38344075,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
10,2-FM,VK3RMN 2,FM,2,146.8500,146.2500,VK3RMN,KLake,Kinglake,Melbourne,O,80,600,3,VWN,91.5,39,,0.600,0.600,-,MINUS,DUP-,-RPT,145.3162849,-37.5157077,QF22pl76wf,669216,231.1,225.6,45067.5,1291764.0,5,
10,2-FM,VK3RMS 2,FM,2,147.3500,147.9500,VK3RMS,Olind2,Olinda,Melbourne East,O,-,600,-,3WI,-,,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.36636,-37.85392842,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
10,2-FM,VK3RMU 2,FM,2,147.3750,147.9750,VK3RMU,StLeo,Mt St Leonard,Melbourne,O,-,1028,2.5,3WI,91.5,,,-0.600,0.600,+,PLUS,DUP+,+RPT,145.5255499,-37.56753677,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
10,2-FM,VK3RPS 2,FM,2,147.2000,147.8000,VK3RPS,Cotrel,Mt Cottrell,Melb West IRLP/EchoLink,O,150,217,3,3FY,91.5,,,-0.600,0.600,+,PLUS,DUP+,+RPT,144.6218721,-37.76315776,QF22hf46ou,735234,232.1,227.3,31131.0,1350726.0,5,
10,2-FM,VK3RRC 2,FM,2,146.9750,146.3750,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek (Scouts),O,-,-,-,VSA,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,144.6648404,-37.44798127,QF22hn92sl,713015,234.3,229.4,48701.6,1320997.0,5,
10,2-FM,VK3RSP 2,FM,2,146.6750,146.0750,VK3RSP,MtMtha,Mt Martha,Mornington Peninsula,O,-,-,-,3BSP,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,145.0176175,-38.29004657,QF21mr20cj,742400,226.9,221.7,53028.2,1376830.2,5,
10,2-FM,VK3RYV 2,FM,2,146.7250,146.1250,VK3RYV,Briart,Briarty Hill,Yarra Valley,O,25,421,2.5,3YVG,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,145.4762425,-37.73098542,QF22rg74dn,672161,228.7,223.1,45584.1,1302907.9,5,
10,3-FM,VK3RAD 7,FM,7,438.5250,433.5250,VK3RAD,-,Mitcham,Melbourne,O,80,100,2.5,3JFK,123,14,,5.000,5.000,-,MINUS,DUP-,-RPT,145.188383,-37.82077303,QF22oe23oa,698349,229.4,224.0,19289.7,1325761.1,5,
10,3-FM,VK3RAJ 7,FM,7,439.7500,434.7500,VK3RAJ,Upwey,Upwey,Melbourne SE,O,50,270,3,3AJ,91.5,102,,5.000,5.000,-,MINUS,DUP-,-RPT,145.3172575,-37.90393029,QF22pc83bb,695024,228.2,222.7,32197.2,1326662.8,5,
10,3-FM,VK3RBM 7,FM,7,438.7000,433.7000,VK3RBM,-,Bacchus Marsh,Bacchus Marsh 6/15,P,100,500,3,3FY,91.5,103,,5.000,5.000,-,MINUS,DUP-,-RPT,144.4166529,-37.64389849,QF22ei95xl,743149,233.7,229.1,52256.5,1351701.9,5,
10,3-FM,VK3RBW 7,FM,7,438.4500,433.4500,VK3RBW,-,Mt Gisborne,Melbourne West,O,150,650,3,3FSK,91.5,103,,5.000,5.000,-,MINUS,DUP-,-RPT,144.5870696,-37.52017815,QF22hl05kd,723095,234.0,229.2,46910.1,1331552.6,5,
